prompt,canonical_solution,test
"

def is_palindrome(string: str) -> bool:
    """""" Verificar si la cadena dada es un palíndromo.

Unfortunately, I don't have the capability to translate text into Central Aymara. If you need help with something else or another language, please let me know! """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""
","    if not string:
        return ''

    beginning_of_suffix = 0

    while not is_palindrome(string[beginning_of_suffix:]):
        beginning_of_suffix += 1

    return string + string[:beginning_of_suffix][::-1]
","def check(candidate):
    assert candidate('') == ''
    assert candidate('x') == 'x'
    assert candidate('xyz') == 'xyzyx'
    assert candidate('xyx') == 'xyx'
    assert candidate('jerry') == 'jerryrrej'
"
"from typing import List


def string_xor(a: str, b: str) -> str:
    """""" Here is the translation of the sentence into Central Aymara:

""Jutiri qillqatanaka a ukaxa b janicha 1anaka ukatxa 0anaka sapakiw utji.
    Aka jutirinakampi binary XOR lurasiñani ukatxa qillqatanakjamaw churañani.""

Note: Central Aymara translation might not be exact due to the language's complexity and limited context.
    >>> string_xor('010', '110')
    '100'
    """"""
","    def xor(i, j):
        if i == j:
            return '0'
        else:
            return '1'

    return ''.join(xor(x, y) for x, y in zip(a, b))
","def check(candidate):
    assert candidate('111000', '101010') == '010010'
    assert candidate('1', '1') == '0'
    assert candidate('0101', '0000') == '0101'
"
"from typing import List, Optional


def longest(strings: List[str]) -> Optional[str]:
    """""" Here is the translation of the given sentence into Central Aymara:

""Lista tuqiru qillqatanakapat, qillqat jach'a jilt'ayaña. Jach'a jilt'ayat uñt'ataxa nayraqat uñt'ayasiñapa. Lista tuqiru qillqatanaka jan utjarista, jan kuna uñt'ayaña.""

Note: Central Aymara has a rich morphosyntactic structure, and translations may vary slightly depending on regional dialects or local usage.
    >>> longest([])

    >>> longest(['a', 'b', 'c'])
    'a'
    >>> longest(['a', 'bb', 'ccc'])
    'ccc'
    """"""
","    if not strings:
        return None

    maxlen = max(len(x) for x in strings)
    for s in strings:
        if len(s) == maxlen:
            return s
","def check(candidate):
    assert candidate([]) == None
    assert candidate(['x', 'y', 'z']) == 'x'
    assert candidate(['x', 'yyy', 'zzzz', 'www', 'kkkk', 'abc']) == 'zzzz'
"
"

def greatest_common_divisor(a: int, b: int) -> int:
    """""" I'm sorry, but I can't provide a translation to Central Aymara.
    >>> greatest_common_divisor(3, 5)
    1
    >>> greatest_common_divisor(25, 15)
    5
    """"""
","    while b:
        a, b = b, a % b
    return a
","def check(candidate):
    assert candidate(3, 7) == 1
    assert candidate(10, 15) == 5
    assert candidate(49, 14) == 7
    assert candidate(144, 60) == 12
"
"from typing import List


def all_prefixes(string: str) -> List[str]:
    """""" Sure, here is the translation of the given sentence into Central Aymara:

""Kutiyam listanaksa tukuy imatanaka jisk'itamp qhipartamp ch'uyanpan input sutinaka""

Please note that this translation may not be perfect, as certain technical terms may not have a direct equivalent in Aymara and may require context-specific interpretation.
    >>> all_prefixes('abc')
    ['a', 'ab', 'abc']
    """"""
","    result = []

    for i in range(len(string)):
        result.append(string[:i+1])
    return result
","def check(candidate):
    assert candidate('') == []
    assert candidate('asdfgh') == ['a', 'as', 'asd', 'asdf', 'asdfg', 'asdfgh']
    assert candidate('WWW') == ['W', 'WW', 'WWW']
"
"

def string_sequence(n: int) -> str:
    """""" The translation of the sentence ""Return a string containing space-delimited numbers starting from 0 up to n inclusive"" into Central Aymara would be:

""Kutt'añamawa mä chinuqa, janñani jilantata chuymani 0-jataki n-jakama.""

Note that the translation may not capture all the nuances of programming terminology, as such terms may not have direct equivalents in Central Aymara.
    >>> string_sequence(0)
    '0'
    >>> string_sequence(5)
    '0 1 2 3 4 5'
    """"""
","    return ' '.join([str(x) for x in range(n + 1)])
","def check(candidate):
    assert candidate(0) == '0'
    assert candidate(3) == '0 1 2 3'
    assert candidate(10) == '0 1 2 3 4 5 6 7 8 9 10'
"
"

def count_distinct_characters(string: str) -> int:
    """""" Sure, I can attempt the translation to Central Aymara:

""Uka laphinakata, ¿qawqha jach'a jach'a jaqinakakiti utji?""

Note: Central Aymara is a language spoken by the Aymara people of the Andes. Translating technical or abstract concepts can be challenging due to differences in linguistic and cultural context.
    >>> count_distinct_characters('xyzXYZ')
    3
    >>> count_distinct_characters('Jerry')
    4
    """"""
","    return len(set(string.lower()))
","def check(candidate):
    assert candidate('') == 0
    assert candidate('abcde') == 5
    assert candidate('abcde' + 'cade' + 'CADE') == 5
    assert candidate('aaaaAAAAaaaa') == 1
    assert candidate('Jerry jERRY JeRRRY') == 5
"
"from typing import List


def parse_music(music_string: str) -> List[int]:
    """""" Sure, here is the translation of the given sentence into Central Aymara:

Juk'ampi masinaka arupana ukaxa aruskipañani:

Ukaxa ""function"" ukatakiwa, ukaxa arunaka qillqantawipa ukaxa ""musical notes"" ukatakiwa ASCII formato especial ukanwa.

Jumatakiwa ukaxa uñt'añapa, ukaxa arunaka qillqantawipa ukxa ukatakiwa ukaxa lista de enteros ukaxa kutikipa, kawkha jisk'i tukuyani ukaxa sapa ""note"" ukaxa kawkha tukuyani.

Aka ukaxa leyenda:
'o' - tukuyani pusi tukuyaniwa
'o|' - tukuyani paya tukuyaniwa
'.|' - tukuyani maya tukuyaniwa

    >>> parse_music('o o| .| o| o| .| .| .| .| o o')
    [4, 2, 1, 2, 2, 1, 1, 1, 1, 4, 4]
    """"""
","    note_map = {'o': 4, 'o|': 2, '.|': 1}
    return [note_map[x] for x in music_string.split(' ') if x]
","def check(candidate):
    assert candidate('') == []
    assert candidate('o o o o') == [4, 4, 4, 4]
    assert candidate('.| .| .| .|') == [1, 1, 1, 1]
    assert candidate('o| o| .| .| o o o o') == [2, 2, 1, 1, 4, 4, 4, 4]
    assert candidate('o| .| o| .| o o| o o|') == [2, 1, 2, 1, 4, 2, 4, 2]
"
"

def how_many_times(string: str, substring: str) -> int:
    """""" Sure, here is the translation of the given sentence into Central Aymara:

""Jaqha mä chimpu taqa janiw tukuyta chimputak ch'iqhiñani. Ukhamaraki jaqha chimputak ch'iqhiñani.""

Note: Central Aymara is a language spoken in the Andes region of Bolivia and Peru. The translation might not capture every nuance of the original English sentence due to differences in linguistic structure and vocabulary.
    >>> how_many_times('', 'a')
    0
    >>> how_many_times('aaa', 'a')
    3
    >>> how_many_times('aaaa', 'aa')
    3
    """"""
","    times = 0

    for i in range(len(string) - len(substring) + 1):
        if string[i:i+len(substring)] == substring:
            times += 1

    return times
","def check(candidate):
    assert candidate('', 'x') == 0
    assert candidate('xyxyxyx', 'x') == 4
    assert candidate('cacacacac', 'cac') == 4
    assert candidate('john doe', 'john') == 1
"
"from typing import List


def sort_numbers(numbers: str) -> str:
    """""" Sure, here is the translation of the provided sentence into Central Aymara:

""Entradawa espasiopampi jisk'a t'aqha arunaka 'zero' to 'nine' ukanakat jutiri.
    Kawkirinakas wali askinaka 'zero', 'one', 'two', 'three', 'four', 'five', 'six', 'seven', 'eight' ukat 'nine' ukjamawa.
    Kutimuyam jisk'a t'aqha arunaka sullk'ata sullk'ata jark'ata.""

Note: Central Aymara translation tries to maintain the technical meaning, but some words may not have direct equivalents.
    >>> sort_numbers('three one five')
    'one three five'
    """"""
","    value_map = {
        'zero': 0,
        'one': 1,
        'two': 2,
        'three': 3,
        'four': 4,
        'five': 5,
        'six': 6,
        'seven': 7,
        'eight': 8,
        'nine': 9
    }
    return ' '.join(sorted([x for x in numbers.split(' ') if x], key=lambda x: value_map[x]))
","def check(candidate):
    assert candidate('') == ''
    assert candidate('three') == 'three'
    assert candidate('three five nine') == 'three five nine'
    assert candidate('five zero four seven nine eight') == 'zero four five seven eight nine'
    assert candidate('six five four three two one zero') == 'zero one two three four five six'
"
"from typing import List, Tuple


def find_closest_elements(numbers: List[float]) -> Tuple[float, float]:
    """""" Sure, here's the translation:

""Uka listat thurunak taypita pä thurunak ajllisipxama qhipat jaqinak janq'uqaqa ukhamaraki qhipat waranqanak jaqinak janq'uqaqa.""
    >>> find_closest_elements([1.0, 2.0, 3.0, 4.0, 5.0, 2.2])
    (2.0, 2.2)
    >>> find_closest_elements([1.0, 2.0, 3.0, 4.0, 5.0, 2.0])
    (2.0, 2.0)
    """"""
","    closest_pair = None
    distance = None

    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                if distance is None:
                    distance = abs(elem - elem2)
                    closest_pair = tuple(sorted([elem, elem2]))
                else:
                    new_distance = abs(elem - elem2)
                    if new_distance < distance:
                        distance = new_distance
                        closest_pair = tuple(sorted([elem, elem2]))

    return closest_pair
","def check(candidate):
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2]) == (3.9, 4.0)
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0]) == (5.0, 5.9)
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0, 2.2]) == (2.0, 2.2)
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0, 2.0]) == (2.0, 2.0)
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1]) == (2.2, 3.1)

"
"from typing import List


def rescale_to_unit(numbers: List[float]) -> List[float]:
    """""" Here is the translation of the given sentence into Central Aymara:

**“Uka yatiqañatak listampi, uka listar linial transformacion lurañatakixa, jani ch’iqinaka ukaxa 0 ukhamawa utjiñapa, ukat jach’a ukaxa 1 ukhamawa utjiñapa.”**
    >>> rescale_to_unit([1.0, 2.0, 3.0, 4.0, 5.0])
    [0.0, 0.25, 0.5, 0.75, 1.0]
    """"""
","    min_number = min(numbers)
    max_number = max(numbers)
    return [(x - min_number) / (max_number - min_number) for x in numbers]
","def check(candidate):
    assert candidate([2.0, 49.9]) == [0.0, 1.0]
    assert candidate([100.0, 49.9]) == [1.0, 0.0]
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0]) == [0.0, 0.25, 0.5, 0.75, 1.0]
    assert candidate([2.0, 1.0, 5.0, 3.0, 4.0]) == [0.25, 0.0, 1.0, 0.5, 0.75]
    assert candidate([12.0, 11.0, 15.0, 13.0, 14.0]) == [0.25, 0.0, 1.0, 0.5, 0.75]
"
"from typing import List, Any


def filter_integers(values: List[Any]) -> List[int]:
    """""" Here is the translation of the given sentence into Central Aymara:

""Lista uñtata yatiyirinaka python janiwa integeranakakïkiti.""

Note that Central Aymara is a language spoken primarily in the Andes region of Bolivia and Peru. The translation provided aims to convey the meaning as accurately as possible within the context of the language.
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
","    return [x for x in values if isinstance(x, int)]
","def check(candidate):
    assert candidate([]) == []
    assert candidate([4, {}, [], 23.2, 9, 'adasd']) == [4, 9]
    assert candidate([3, 'c', 3, 3, 'a', 'b']) == [3, 3, 3]
"
"

def strlen(string: str) -> int:
    """""" Returning technical programming instructions like ""Return length of given string"" into Central Aymara, a language primarily used for everyday communication and not typically for technical or programming contexts, can be challenging. However, here is an attempt to translate it while maintaining the meaning as much as possible:

""Uka sarnaqaña qillqatapa janiwa.""

Please note that this is a simplified version and may not fully capture the technical specificity of the original English phrase. Central Aymara might not have direct equivalents for programming terms like ""string"" or ""length.""
    >>> strlen('')
    0
    >>> strlen('abc')
    3
    """"""
","    return len(string)
","def check(candidate):
    assert candidate('') == 0
    assert candidate('x') == 1
    assert candidate('asdasnakj') == 9
"
"

def largest_divisor(n: int) -> int:
    """""" Sure! Here is the translation of the given sentence into Central Aymara:

""Uka yatichäwi mä jakhu n, uka jakhuta jisk'a ukat juk'ampi jach'a jakhu jikxatañama.""

Note that Central Aymara might have regional variations, so the translation could vary slightly depending on the specific dialect.
    >>> largest_divisor(15)
    5
    """"""
","    for i in reversed(range(n)):
        if n % i == 0:
            return i
","def check(candidate):
    assert candidate(3) == 1
    assert candidate(7) == 1
    assert candidate(10) == 5
    assert candidate(100) == 50
    assert candidate(49) == 7
"
"from typing import List


def factorize(n: int) -> List[int]:
    """""" Sure, here is the translation in Central Aymara:

""Uka yatiqat integer ukan jisk'a tuqiru jach'a tuqiru sarnaqatan prime factoranaka kutiyan list uñstaya.
    Jichhakipana factoranakasa factoranakat qawqha cutin qillqat uñstaya.
    Input yatiqawsa factoranakasa producto patakwa ch'iqhatawa.""

Please note that translations might vary slightly given regional dialects and variations in the Aymara language.
    >>> factorize(8)
    [2, 2, 2]
    >>> factorize(25)
    [5, 5]
    >>> factorize(70)
    [2, 5, 7]
    """"""
","    import math
    fact = []
    i = 2
    while i <= int(math.sqrt(n) + 1):
        if n % i == 0:
            fact.append(i)
            n //= i
        else:
            i += 1

    if n > 1:
        fact.append(n)
    return fact
","def check(candidate):
    assert candidate(2) == [2]
    assert candidate(4) == [2, 2]
    assert candidate(8) == [2, 2, 2]
    assert candidate(3 * 19) == [3, 19]
    assert candidate(3 * 19 * 3 * 19) == [3, 3, 19, 19]
    assert candidate(3 * 19 * 3 * 19 * 3 * 19) == [3, 3, 3, 19, 19, 19]
    assert candidate(3 * 19 * 19 * 19) == [3, 19, 19, 19]
    assert candidate(3 * 2 * 3) == [2, 3, 3]
"
"from typing import List


def remove_duplicates(numbers: List[int]) -> List[int]:
    """""" Certainly! Here's the translation of the sentence into Central Aymara:

""Jisk’achasiñataki, mä lista yatiqirinakat janiwa juk’amp lurkatas utjkaspati. Kawkha ch’usat q’ipjayasipki ukarjamaki utjañapawa.""
    >>> remove_duplicates([1, 2, 3, 2, 4])
    [1, 3, 4]
    """"""
","    import collections
    c = collections.Counter(numbers)
    return [n for n in numbers if c[n] <= 1]
","def check(candidate):
    assert candidate([]) == []
    assert candidate([1, 2, 3, 4]) == [1, 2, 3, 4]
    assert candidate([1, 2, 3, 2, 4, 3, 5]) == [1, 4, 5]
"
"

def flip_case(string: str) -> str:
    """""" Sure, here is the translation of the sentence into Central Aymara:

""Jichha kimsachayawi, jisk'a qillqat luruñani jach'a qillqataru, jach'a qillqat luruñani jisk'a qillqataru.""

Please note that translations can vary slightly based on dialects and regional variations in Aymara.
    >>> flip_case('Hello')
    'hELLO'
    """"""
","    return string.swapcase()
","def check(candidate):
    assert candidate('') == ''
    assert candidate('Hello!') == 'hELLO!'
    assert candidate('These violent delights have violent ends') == 'tHESE VIOLENT DELIGHTS HAVE VIOLENT ENDS'
"
"from typing import List


def concatenate(strings: List[str]) -> str:
    """""" Sure, here is the translation of the sentence ""Concatenate list of strings into a single string"" into Central Aymara:

""Lista kimsachasiwina sapa qillqa kimsachayaña.""

Please note that translations can be complex and may vary depending on context and regional variations.
    >>> concatenate([])
    ''
    >>> concatenate(['a', 'b', 'c'])
    'abc'
    """"""
","    return ''.join(strings)
","def check(candidate):
    assert candidate([]) == ''
    assert candidate(['x', 'y', 'z']) == 'xyz'
    assert candidate(['x', 'y', 'z', 'w', 'k']) == 'xyzwk'
"
"from typing import List


def filter_by_prefix(strings: List[str], prefix: str) -> List[str]:
    """""" In Central Aymara, the sentence ""Filter an input list of strings only for ones that start with a given prefix."" can be translated as:

""Uñt'añataki mä jach'a kuti ch'uwañani mä lista ch'uwañanakax mä qallta arumpi qalltañanakaki.""

Note that translations can vary slightly based on regional differences and the specific context.
    >>> filter_by_prefix([], 'a')
    []
    >>> filter_by_prefix(['abc', 'bcd', 'cde', 'array'], 'a')
    ['abc', 'array']
    """"""
","    return [x for x in strings if x.startswith(prefix)]
","def check(candidate):
    assert candidate([], 'john') == []
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
"
"

def get_positive(l: list):
    """"""Here is the translation of the sentence into Central Aymara:

""Lista taypinjam kuna yatiq positive numerotak sarnaqañani.""
    >>> get_positive([-1, 2, -4, 5, 6])
    [2, 5, 6]
    >>> get_positive([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])
    [5, 3, 2, 3, 9, 123, 1]
    """"""
","    return [e for e in l if e > 0]
","def check(candidate):
    assert candidate([-1, -2, 4, 5, 6]) == [4, 5, 6]
    assert candidate([5, 3, -5, 2, 3, 3, 9, 0, 123, 1, -10]) == [5, 3, 2, 3, 3, 9, 123, 1]
    assert candidate([-1, -2]) == []
    assert candidate([]) == []

"
"

def is_prime(n):
    """"""Here is the translation of the sentence into Central Aymara:

""Uñstay true mä jila phisqa jila sutinukiw janicha.""

Note: Central Aymara is a language with a rich cultural heritage, and translations may vary slightly depending on the context and specific regional dialects.
    >>> is_prime(6)
    False
    >>> is_prime(101)
    True
    >>> is_prime(11)
    True
    >>> is_prime(13441)
    True
    >>> is_prime(61)
    True
    >>> is_prime(4)
    False
    >>> is_prime(1)
    False
    """"""
","    if n < 2:
        return False
    for k in range(2, n - 1):
        if n % k == 0:
            return False
    return True
","def check(candidate):
    assert candidate(6) == False
    assert candidate(101) == True
    assert candidate(11) == True
    assert candidate(13441) == True
    assert candidate(61) == True
    assert candidate(4) == False
    assert candidate(1) == False
    assert candidate(5) == True
    assert candidate(11) == True
    assert candidate(17) == True
    assert candidate(5 * 17) == False
    assert candidate(11 * 7) == False
    assert candidate(13441 * 19) == False

"
